[2025-02-14 09:31:22] [info]  [20636] Apache Commons Daemon procrun (1.4.1.0 64-bit) started.
[2025-02-14 09:31:23] [info]  [20636] Running Service 'Tomcat9'...
[2025-02-14 09:31:23] [info]  [11224] Starting service...
[2025-02-14 09:31:24] [info]  [11224] Service started in 1710 milliseconds.
[2025-02-14 14:16:43] [info]  [20636] Service SERVICE_CONTROL_STOP signalled.
[2025-02-14 14:16:43] [info]  [15636] Stopping service...
[2025-02-14 14:16:44] [info]  [15636] Service stop thread completed.
[2025-02-14 14:16:44] [info]  [20636] Run service finished.
[2025-02-14 14:16:44] [info]  [20636] Apache Commons Daemon procrun finished.
[2025-02-14 14:17:52] [info]  [ 8852] Apache Commons Daemon procrun (1.4.1.0 64-bit) started.
[2025-02-14 14:17:52] [info]  [ 8852] Running Service 'Tomcat9'...
[2025-02-14 14:17:52] [info]  [12228] Starting service...
[2025-02-14 14:17:53] [info]  [12228] Service started in 1212 milliseconds.
[2025-02-14 14:20:26] [info]  [ 8852] Service SERVICE_CONTROL_STOP signalled.
[2025-02-14 14:20:26] [info]  [15104] Stopping service...
[2025-02-14 14:20:27] [info]  [15104] Service stop thread completed.
[2025-02-14 14:20:27] [info]  [ 8852] Run service finished.
[2025-02-14 14:20:27] [info]  [ 8852] Apache Commons Daemon procrun finished.
[2025-02-14 14:24:10] [info]  [ 6760] Apache Commons Daemon procrun (1.4.1.0 64-bit) started.
[2025-02-14 14:24:10] [info]  [ 6760] Running Service 'Tomcat9'...
[2025-02-14 14:24:10] [info]  [11320] Starting service...
[2025-02-14 14:24:11] [info]  [11320] Service started in 1240 milliseconds.
[2025-02-14 15:16:44] [info]  [ 6760] Service SERVICE_CONTROL_STOP signalled.
[2025-02-14 15:16:44] [info]  [ 2924] Stopping service...
[2025-02-14 15:16:45] [info]  [ 2924] Service stop thread completed.
[2025-02-14 15:16:45] [info]  [ 6760] Run service finished.
[2025-02-14 15:16:45] [info]  [ 6760] Apache Commons Daemon procrun finished.
